# p + 12C scattering, E_lab = 30.0 MeV
# l  Re(S_num)  Im(S_num)  Re(S_slam)  Im(S_slam)
0  -0.1265596401  -0.4807751327  -0.1266450789  -0.4807523704
1  -0.4390251887  -0.2763722348  -0.4389808101  -0.2764398957
2  -0.4805955672  0.0069460269  -0.4806179530  0.0070021899
3  0.0285872100  0.3103968454  0.0285545871  0.3103976501
4  0.6549578042  0.2869003650  0.6549526166  0.2869138967
5  0.9174641185  0.1202939261  0.9174593266  0.1203204938
6  0.9814959272  0.0393357350  0.9814957866  0.0393328337
7  0.9957673596  0.0120884258  0.9957671189  0.0120840350
8  0.9990086858  0.0036505445  0.9990086666  0.0036501183
9  0.9997630041  0.0010944926  0.9997630075  0.0010946910
10  0.9999422099  0.0003266629  0.9999422089  0.0003266988
