# Numerov wave function for l=5
# r  Re(psi)  Im(psi)
0.000000  0.0000000000  0.0000000000
0.020000  0.0000000000  0.0000000000
0.040000  0.0000000000  0.0000000000
0.060000  0.0000000000  0.0000000000
0.080000  0.0000000000  0.0000000000
0.100000  0.0000000000  0.0000000000
0.120000  0.0000000000  0.0000000000
0.140000  0.0000000000  0.0000000000
0.160000  0.0000000000  0.0000000000
0.180000  0.0000000000  0.0000000000
0.200000  0.0000000000  0.0000000000
0.220000  0.0000000193  0.0000000156
0.240000  0.0000000434  0.0000000350
0.260000  0.0000000765  0.0000000617
0.280000  0.0000001232  0.0000000994
0.300000  0.0000001886  0.0000001522
0.320000  0.0000002791  0.0000002251
0.340000  0.0000004021  0.0000003243
0.360000  0.0000005665  0.0000004568
0.380000  0.0000007829  0.0000006311
0.400000  0.0000010636  0.0000008573
0.420000  0.0000014230  0.0000011467
0.440000  0.0000018777  0.0000015130
0.460000  0.0000024470  0.0000019712
0.480000  0.0000031524  0.0000025390
0.500000  0.0000040187  0.0000032360
0.520000  0.0000050735  0.0000040844
0.540000  0.0000063479  0.0000051092
0.560000  0.0000078767  0.0000063381
0.580000  0.0000096981  0.0000078018
0.600000  0.0000118548  0.0000095342
0.620000  0.0000143935  0.0000115728
0.640000  0.0000173655  0.0000139585
0.660000  0.0000208270  0.0000167359
0.680000  0.0000248388  0.0000199537
0.700000  0.0000294676  0.0000236646
0.720000  0.0000347850  0.0000279259
0.740000  0.0000408686  0.0000327991
0.760000  0.0000478021  0.0000383504
0.780000  0.0000556752  0.0000446511
0.800000  0.0000645841  0.0000517772
0.820000  0.0000746316  0.0000598100
0.840000  0.0000859276  0.0000688363
0.860000  0.0000985888  0.0000789481
0.880000  0.0001127396  0.0000902432
0.900000  0.0001285115  0.0001028253
0.920000  0.0001460441  0.0001168037
0.940000  0.0001654846  0.0001322940
0.960000  0.0001869885  0.0001494179
0.980000  0.0002107194  0.0001683033
1.000000  0.0002368495  0.0001890845
1.020000  0.0002655595  0.0002119022
1.040000  0.0002970388  0.0002369038
1.060000  0.0003314858  0.0002642431
1.080000  0.0003691077  0.0002940806
1.100000  0.0004101210  0.0003265837
1.120000  0.0004547512  0.0003619264
1.140000  0.0005032335  0.0004002895
1.160000  0.0005558119  0.0004418605
1.180000  0.0006127405  0.0004868339
1.200000  0.0006742825  0.0005354109
1.220000  0.0007407108  0.0005877995
1.240000  0.0008123079  0.0006442144
1.260000  0.0008893660  0.0007048770
1.280000  0.0009721869  0.0007700153
1.300000  0.0010610820  0.0008398640
1.320000  0.0011563723  0.0009146641
1.340000  0.0012583888  0.0009946633
1.360000  0.0013674715  0.0010801152
1.380000  0.0014839704  0.0011712799
1.400000  0.0016082448  0.0012684234
1.420000  0.0017406635  0.0013718175
1.440000  0.0018816047  0.0014817399
1.460000  0.0020314557  0.0015984738
1.480000  0.0021906132  0.0017223077
1.500000  0.0023594828  0.0018535354
1.520000  0.0025384793  0.0019924558
1.540000  0.0027280262  0.0021393724
1.560000  0.0029285558  0.0022945933
1.580000  0.0031405089  0.0024584309
1.600000  0.0033643350  0.0026312017
1.620000  0.0036004918  0.0028132261
1.640000  0.0038494453  0.0030048280
1.660000  0.0041116694  0.0032063345
1.680000  0.0043876461  0.0034180757
1.700000  0.0046778650  0.0036403846
1.720000  0.0049828234  0.0038735963
1.740000  0.0053030259  0.0041180483
1.760000  0.0056389845  0.0043740797
1.780000  0.0059912184  0.0046420310
1.800000  0.0063602537  0.0049222439
1.820000  0.0067466233  0.0052150611
1.840000  0.0071508667  0.0055208254
1.860000  0.0075735303  0.0058398799
1.880000  0.0080151664  0.0061725675
1.900000  0.0084763339  0.0065192303
1.920000  0.0089575976  0.0068802097
1.940000  0.0094595286  0.0072558456
1.960000  0.0099827034  0.0076464763
1.980000  0.0105277047  0.0080524380
2.000000  0.0110951205  0.0084740646
2.020000  0.0116855446  0.0089116872
2.040000  0.0122995760  0.0093656336
2.060000  0.0129378192  0.0098362282
2.080000  0.0136008838  0.0103237916
