# SLAM wave function for l=5
# r  Re(psi)  Im(psi)
0.005577  -0.0000000000  -0.0000000000
0.029377  0.0000000000  0.0000000000
0.072156  0.0000000000  0.0000000000
0.133859  0.0000000015  0.0000000012
0.214393  0.0000000255  0.0000000206
0.313636  0.0000002490  0.0000002008
0.431436  0.0000016705  0.0000013461
0.567615  0.0000085336  0.0000068662
0.721965  0.0000353474  0.0000283774
0.894252  0.0001238038  0.0000990733
1.084211  0.0003774525  0.0003007047
1.291555  0.0010227814  0.0008098017
1.515968  0.0025015467  0.0019638645
1.757107  0.0055893772  0.0043364309
2.014607  0.0115239788  0.0087923053
2.288073  0.0221251976  0.0164778233
2.577091  0.0399080091  0.0286989461
2.881220  0.0681961978  0.0466753260
3.199996  0.1111516649  0.0712646900
3.532935  0.1734547156  0.1028715942
3.879529  0.2593949717  0.1416079687
4.239251  0.3714631574  0.1873436824
4.611553  0.5086474814  0.2392227882
4.995867  0.6645676307  0.2947449463
5.391609  0.8258480879  0.3489257157
5.798176  0.9714830527  0.3940131678
6.214949  1.0740614699  0.4200694179
6.641292  1.1034761853  0.4165498742
7.076558  1.0331332157  0.3747750638
7.520082  0.8477957402  0.2908762078
7.971191  0.5512564796  0.1684780638
8.429195  0.1713721308  0.0201903418
8.893399  -0.2400148277  -0.1329548483
9.363096  -0.6138491767  -0.2645812116
9.837569  -0.8771549889  -0.3483256241
10.316096  -0.9704517184  -0.3644165252
10.797950  -0.8649384025  -0.3057496173
11.282395  -0.5741999158  -0.1815210470
11.768695  -0.1559525580  -0.0168970245
12.256108  0.2981875925  0.1517752640
12.743892  0.6833748077  0.2853503648
13.231305  0.9075980898  0.3517491220
13.717605  0.9159136677  0.3345248276
14.202050  0.7056691473  0.2375552441
14.683904  0.3279673067  0.0843530622
